County,Neighborhood,"Grade 6 Reading/English, 2016 (CMSD)","Grade 6 Math, 2016 (CMSD)","Grade 6 Reading/English, 2015 (CMSD)","Grade 6 Math, 2015 (CMSD)","Grade 6 Reading/English, 2014 (CMSD)","Grade 6 Math, 2014 (CMSD)","Grade 6 Reading/English, 2013 (CMSD)","Grade 6 Math, 2013 (CMSD)","Grade 6 Reading/English, 2012 (CMSD)","Grade 6 Math, 2012 (CMSD)","Grade 6 Reading/English, 2011 (CMSD)","Grade 6 Math, 2011 (CMSD)","Grade 6 Reading/English, 2010 (CMSD)","Grade 6 Math, 2010 (CMSD)","Grade 7 Reading/English, 2016 (CMSD)","Grade 7 Math, 2016 (CMSD)","Grade 7 Reading/English, 2015 (CMSD)","Grade 7 Math, 2015 (CMSD)","Grade 7 Reading/English, 2014 (CMSD)","Grade 7 Math, 2014 (CMSD)","Grade 7 Reading/English, 2013 (CMSD)","Grade 7 Math, 2013 (CMSD)","Grade 7 Reading/English, 2012 (CMSD)","Grade 7 Math, 2012 (CMSD)","Grade 7 Reading/English, 2011 (CMSD)","Grade 7 Math, 2011 (CMSD)","Grade 7 Reading/English, 2010 (CMSD)","Grade 7 Math, 2010 (CMSD)","Grade 8 English, 2016 (CMSD)","Grade 8 Math, 2016 (CMSD)","Grade 8 English, 2015 (CMSD)","Grade 8 Math, 2015 (CMSD)","Grade 8 English, 2014 (CMSD)","Grade 8 Math, 2014 (CMSD)","Grade 8 English, 2013 (CMSD)","Grade 8 Math, 2013 (CMSD)","Grade 8 English, 2012 (CMSD)","Grade 8 Math, 2012 (CMSD)","Grade 8 English, 2011 (CMSD)","Grade 8 Math, 2011 (CMSD)","Grade 8 English, 2010 (CMSD)","Grade 8 Math, 2010 (CMSD)",
Cuyahoga, Euclid-Green,5.26,10,-99,37.5,59.38,46.88,44.44,29.63,52,24,55.56,7.41,68.97,50,11.54,25,-99,37.93,52,56,52.38,33.33,25.71,20,44.12,32.35,30.43,13.04,15.15,27.27,-99,28,58.33,50,61.54,53.85,62.07,41.38,44,12.5,53.33,40,
Cuyahoga, Fairfax,13.33,13.79,-99,23.68,48.72,32.5,50,26.19,56.25,12.5,49.02,43.14,46.67,28.33,8.57,8.33,-99,17.65,54.55,42.42,33.33,15.38,43.9,31.71,44.64,35.71,43.64,23.64,2.7,10.81,-99,9.38,34.29,20,60,31.43,42.31,34.62,57.45,31.25,57.41,25.93,
Cuyahoga, Glenville,8.64,6.25,-99,19.29,44.38,30.77,43.5,28,63.76,27.98,51.98,31.75,55.85,39.47,13.25,12.12,-99,13.55,40.63,28.5,42.56,23.59,42.44,24.37,44.86,40.33,46.13,21.36,7.05,19.48,-99,18.13,58.79,41.21,55.45,33.18,51.29,46.12,51.79,24.7,53.23,29.32,
Cuyahoga, Goodrich-Kirtland Pk,0,0,-99,30.77,53.85,46.15,45.45,27.27,66.67,50,55.56,42.11,71.43,52.38,13.33,20,-99,35.71,30,10,61.54,46.15,31.82,36.36,50,37.93,80,60,18.18,36.36,-99,27.27,-99,-99,35.29,52.94,62.5,56.25,68.75,68.75,50,50,
Cuyahoga, Hopkins,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
Cuyahoga, Hough,6.98,11.76,-99,14.77,42.7,23.6,52.44,25.61,60.58,32.69,53.39,35.59,53.39,21.19,4,12.99,-99,17.98,58.82,36.23,46.59,26.44,43.59,30.77,42.45,39.62,44.88,22.83,6.35,7.94,-99,11.27,47.67,35.29,45.83,23.96,51.06,36.17,42.11,24.78,49.06,24.53,
Cuyahoga, Jefferson,32.74,30.09,38.46,31.45,58.33,46.79,62.9,43.55,75.81,63.71,74.53,50,74.19,50,21.85,27.73,40,29.57,66.41,53.03,66.4,61.6,57.84,44.12,62.6,57.25,69.23,43.08,12.82,20.18,46.67,22.58,66.19,56.43,71.96,48.6,74.42,68.99,75.2,54.4,69.53,48.41,
Cuyahoga, Kamm's,37.66,42.86,66.67,43.52,73.68,66.67,72.22,61.11,87.39,78.18,76.07,62.93,85.19,69.72,24.24,27,-99,52.53,79.09,62.39,66.04,66.98,68.87,56.6,68.42,76.84,69.11,57.72,24.72,38.89,40,34.55,77.57,71.96,83.33,66.67,85,80,72.95,62.81,79,64,
Cuyahoga, Kinsman,12.24,12.24,-99,8.57,52.5,21.95,57.14,35.71,68.97,41.38,44.68,25.53,60.47,37.21,9.52,4.88,-99,17.95,41.03,23.08,37.5,27.5,32.35,17.65,43.4,32.69,48.53,33.82,10,12.82,-99,18.92,43.64,30.91,32.35,23.53,63.16,37.84,49.28,38.24,43.1,27.59,
Cuyahoga, Lee-Harvard,10.94,15.38,-99,16.9,63.38,31.94,47.3,32.43,51.22,25.61,72.31,42.42,61.86,34.02,4.76,15.63,-99,22.39,47.69,27.69,42.7,22.47,47.95,38.36,55,43.75,60.82,32.99,9.09,25,-99,17.14,58.33,50,56.34,38.89,63.86,55.42,60.24,33.73,56.84,35.79,
