Neighborhood,2010,2011,2012,2013,2014,2015,2016
 Broadway-Slavic Village,31.37,35.574545,36.415455,35.218182,39.934706,30.9985,11.104167
 Collinwood-Nottingham,38.161364,37.273636,34.488182,36.716818,43.472941,37.061579,14.994167
 Glenville,37.547727,39.325909,40.370455,33.502727,42.856471,29.118421,11.674167
 Mount Pleasant,35.543182,38.303636,40.062727,39.192727,47.076471,32.802105,11.095833
 Union-Miles,35.002273,38.663636,37.685,35.465909,42.545882,34.464737,11.808333
