County,Neighborhood,"OGT 10th Grade-Reading, 2015 (CMSD)","OGT 10th Grade-Writing, 2015 (CMSD)","OGT 10th Grade-Math, 2015 (CMSD)","OGT 10th Grade-Social Studies, 2015 (CMSD)","OGT 10th Grade-Science, 2015 (CMSD)","OGT 11th Grade-Reading, 2015 (CMSD)","OGT 11th Grade-Writing, 2015 (CMSD)","OGT 11th Grade-Math, 2015 (CMSD)","OGT 11th Grade-Social Studies, 2015 (CMSD)","OGT 11th Grade-Science, 2015 (CMSD)","OGT 10th Grade-Reading, 2014 (CMSD)","OGT 10th Grade-Writing, 2014 (CMSD)","OGT 10th Grade-Math, 2014 (CMSD)","OGT 10th Grade-Social Studies, 2014 (CMSD)","OGT 10th Grade-Science, 2014 (CMSD)","OGT 11th Grade-Reading, 2014 (CMSD)","OGT 11th Grade-Writing, 2014 (CMSD)","OGT 11th Grade-Math, 2014 (CMSD)","OGT 11th Grade-Social Studies, 2014 (CMSD)","OGT 11th Grade-Science, 2014 (CMSD)","OGT 10th Grade-Reading, 2013 (CMSD)","OGT 10th Grade-Writing, 2013 (CMSD)","OGT 10th Grade-Math, 2013 (CMSD)","OGT 10th Grade-Social Studies, 2013 (CMSD)","OGT 10th Grade-Science, 2013 (CMSD)","OGT 11th Grade-Reading, 2013 (CMSD)","OGT 11th Grade-Writing, 2013 (CMSD)","OGT 11th Grade-Math, 2013 (CMSD)","OGT 11th Grade-Social Studies, 2013 (CMSD)","OGT 11th Grade-Science, 2013 (CMSD)","OGT 10th Grade-Reading, 2012 (CMSD)","OGT 10th Grade-Writing, 2012 (CMSD)","OGT 10th Grade-Math, 2012 (CMSD)","OGT 10th Grade-Social Studies, 2012 (CMSD)","OGT 10th Grade-Science, 2012 (CMSD)","OGT 10th Grade-Reading, 2011 (CMSD)","OGT 10th Grade-Writing, 2011 (CMSD)","OGT 10th Grade-Math, 2011 (CMSD)","OGT 10th Grade-Social Studies, 2011 (CMSD)","OGT 10th Grade-Science, 2011 (CMSD)","OGT 10th Grade-Reading, 2010 (CMSD)","OGT 10th Grade-Writing, 2010 (CMSD)","OGT 10th Grade-Math, 2010 (CMSD)","OGT 10th Grade-Social Studies, 2010 (CMSD)","OGT 10th Grade-Science, 2010 (CMSD)"
Cuyahoga, Downtown,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Cuyahoga, Edgewater,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,81.82,72.73,81.82,81.82,63.64,53.33,40,40,53.33,40
Cuyahoga, Euclid-Green,66.67,85,72.73,66.67,45,-99,-99,-99,-99,-99,86.36,77.27,65.22,66.67,59.09,-99,-99,-99,-99,-99,57.89,58.82,52.63,44.44,42.11,-99,-99,-99,-99,23.08,58.33,78.26,58.33,62.5,41.67,70,87.18,57.5,53.66,40,51.43,57.14,40,41.18,34.29
Cuyahoga, Fairfax,53.33,58.62,58.62,50,40.63,-99,25,28.57,18.75,5.88,75.61,58.54,55.81,43.9,40.48,-99,-99,-99,-99,-99,62.07,53.57,40,43.33,30,27.27,9.09,11.11,9.52,18.18,53.33,65.96,42.55,30.43,36.17,58.73,69.84,57.14,44.44,34.38,56.06,60.94,51.52,46.15,33.33
Cuyahoga, Glenville,61.24,63.46,45.45,48.57,36.28,18.42,18.75,9.43,26.23,7.59,68.42,66.84,51.31,47.12,35.68,-99,-99,-99,-99,-99,57.59,49.74,43,35.42,28.57,15,19.05,11.27,13.85,16.67,59.67,67.76,48.64,51.18,36.64,59.86,72.86,50.34,50,38.83,58.65,59.82,48.3,51.04,34.5
Cuyahoga, Goodrich-Kirtland Pk,50,46.15,66.67,66.67,43.75,-99,-99,-99,-99,-99,66.67,56.25,37.5,50,6.67,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,46.15,46.15,50,42.86,21.43,57.89,68.42,63.16,31.58,15.79,55,45,75,50,35
Cuyahoga, Hopkins,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Cuyahoga, Hough,60.78,61.54,55.88,47.57,32.04,15.38,6.67,12.5,34.38,9.09,80.26,75.64,52.63,45,42.86,-99,-99,-99,-99,-99,57.65,57.83,48.84,40,29.89,-99,18.18,42.86,19.05,10.34,52.5,63.64,50,45.57,32.1,42.17,59.04,45.68,36.14,29.27,51.33,56.52,45.69,38.79,30.17
Cuyahoga, Jefferson,57.89,59.65,58.26,52.21,37.93,14.29,26.32,21.05,47.37,15.38,81.58,72.32,61.06,66.96,56.64,-99,-99,-99,-99,-99,75.51,72.45,62.63,53.54,51,13.33,16.67,21.74,23.81,33.33,68.33,69.75,68.03,56.67,58.2,70.54,75.23,58.04,52.73,47.75,66.1,60.34,66.1,58.26,52.54
Cuyahoga, Kamm's,66.67,61.54,58.75,58.02,44.44,33.33,33.33,27.27,25,18.75,76.06,76.06,70.42,71.01,61.11,-99,-99,-99,-99,-99,73.24,76.39,65.28,58.33,54.17,18.18,18.75,25,8.33,23.08,75.68,73.61,72.97,71.62,67.11,59.46,65.75,53.52,43.06,43.66,65.71,62.32,69.44,63.77,56.52
