Neighborhood,2010,2011,2012,2013,2014,2015,2016
 Brooklyn Centre,48.062,49.877273,53.479091,46.611818,56.439412,38.799,21.235833
 Goodrich-Kirtland Pk,50.873529,51.551765,47.781111,45.280833,38.716154,42.368333,18.163333
 Jefferson,51.15619,53.073182,58.406364,52.710455,62.007059,42.798636,31.034167
 Ohio City,46.943333,42.762,47.844091,48.143684,53.231765,41.4175,19.4975
 Tremont,48.470556,49.452778,46.492632,46.782,50.323529,40.077895,25.34
