Parcel,Address,Date posted,New,Municipality,Cleveland Ward,Bldgs,Status
006-09-012,6600 Colgate Ave,43629,NEW,Cleveland,15,1,Sched for demolition
017-28-040,3476 W 94th St,43629,NEW,Cleveland,11,0,Vacant lot
135-07-107,3552 E 106th St,43629,NEW,Cleveland,2,0,Vacant lot
135-11-076,3538 E 113th St,43629,NEW,Cleveland,2,0,Vacant lot
782-16-064,21203 Franklin Rd,43629,NEW,Maple Heights,,1,Sched for demolition
006-10-111,6603 Colgate Ave,43622,NEW,Cleveland,15,0,Pending transfer
671-09-057,1640 Holyoke Ave,43622,NEW,East Cleveland,,0,Vacant lot
004-19-007,2345 W 7th St,43616,NEW,Cleveland,3,1,Pending transfer
019-12-117,11925 Saint John Ave,43616,NEW,Cleveland,11,1,Sched for demolition
133-19-087,7211 Worley Ave,43616,NEW,Cleveland,12,1,Sched for demolition
114-06-051,17708 Ingleside Rd,43615,NEW,Cleveland,8,1,Pending transfer
019-16-153,12810 Leeila Ave,43609,NEW,Cleveland,11,1,Pending transfer
104-11-032,1433 E 53rd St,43609,NEW,Cleveland,10,1,Sched for demolition
142-13-008,4380 E 154th St,43609,NEW,Cleveland,1,1,Sched for demolition
702-12-088,1303 Avondale Rd,43609,NEW,South Euclid,,0,Vacant lot
130-03-120,3254 E 121st St,43606,NEW,Cleveland,4,1,Sched for demolition
139-08-087,3750 E 147th St,43606,NEW,Cleveland,2,1,Sched for demolition
019-12-049,3902 W 118th St,43601,NEW,Cleveland,11,1,Pending transfer
128-13-092,9826 Sophia Ave,43601,NEW,Cleveland,4,1,Sched for demolition
110-15-154,12809 Edmonton Ave,43599,,Cleveland,10,0,Pending transfer
673-12-027,1863 Burnette Ave,43599,,East Cleveland,,1,Sched for demolition
107-19-039,1698 E 90th St,43594,,Cleveland,7,1,Sched for demolition
125-27-090,5924 Cable Ave,43594,,Cleveland,5,1,Sched for demolition
782-07-110,18705 Fairway Ave,43594,,Maple Heights,,0,Pending transfer
015-04-003,3272-3274 W 32nd St,43592,,Cleveland,14,1,Sched for demolition
135-13-091,3626 E 114th St,43592,,Cleveland,2,0,Pending transfer
136-09-011,10316 Avon Ave,43592,,Cleveland,2,1,Sched for demolition
541-15-034,4877 E 86th St,43592,,Garfield Heights,,1,Pending transfer
645-18-026,324 E 266th St,43592,,Euclid,,1,Pending transfer
682-04-129,3648 Fenley Rd,43592,,Cleveland Heights,,1,"For sale (List Price: $25,000) (Renovation Work Required)"
104-14-103,1244 E 58th St,43587,,Cleveland,7,0,Vacant lot
117-14-025,16809 Hillsboro Rd,43587,,Cleveland,10,1,Pending transfer
118-25-030,2165 E 73rd St,43587,,Cleveland,5,1,Pending transfer
139-06-081,3993 E 144th St,43587,,Cleveland,1,1,Sched for demolition
132-12-064,5808 Gertrude Ave (fr & Rear),43581,,Cleveland,12,2,Sched for demolition
009-04-012,1705 Denison Ave,43578,,Cleveland,12,1,Sched for demolition
113-20-092,394 E 163rd St,43574,,Cleveland,8,1,"For sale (List Price: $25,000) (Renovation Work Required)"
138-24-070,14112 Rexwood Ave,43574,,Cleveland,1,1,Pending transfer
143-15-047,4597 E 174th St,43574,,Cleveland,1,1,Pending transfer
863-07-003,1572 Woodhurst Ave,43574,,Mayfield Heights,,1,Pending transfer
109-15-028,1052 Parkwood Dr,43572,,Cleveland,9,1,Sched for demolition
112-01-116,13717 Diana Ave,43572,,Cleveland,8,1,Pending transfer
011-07-084,4000 Biddulph Ave,43570,,Cleveland,13,0,Pending transfer
017-03-023,9117 Lorain Ave,43570,,Cleveland,11,0,Pending transfer
133-10-021,3852 E 78th St,43570,,Cleveland,12,0,Vacant lot
133-10-022,3848 E 78th St,43570,,Cleveland,12,0,Vacant lot
116-31-068,1284 E 187th St,43567,,Cleveland,10,1,Sched for demolition
132-06-113,6710 Sebert Ave,43567,,Cleveland,12,1,Sched for demolition
006-10-080,7227 West Colgate St,43564,,Cleveland,15,0,Pending transfer
109-21-100,11201 Ada Ave,43564,,Cleveland,9,1,Sched for demolition
137-17-075,12800 Gay Ave,43564,,Cleveland,4,1,Sched for demolition
672-22-040,1861 Windermere St,43564,,East Cleveland,,1,Unavailable - Demo under contract
108-08-004,10005 Elk Ave,43561,,Cleveland,10,0,Pending transfer
123-31-110,4913 Frazee Ave,43558,,Cleveland,5,1,Sched for demolition
015-08-103,3801 Woodbridge Ave,43557,,Cleveland,14,1,Sched for demolition
120-07-015,10729 Lee Ave,43557,,Cleveland,9,0,Pending transfer
120-13-016,1447 Lakeview Rd,43557,,Cleveland,9,0,Pending transfer
120-33-074,1866 Lakeview Rd,43557,,Cleveland,6,1,Pending transfer
139-01-053,3565 E 143rd St,43557,,Cleveland,2,0,Pending transfer
672-14-016,1840 Wadena St,43557,,East Cleveland,,1,Pending transfer
672-10-049,1779 Wheeler Ave,43556,,East Cleveland,,1,Sched for demolition
134-13-165,7910 Force Ave,43553,,Cleveland,2,1,Sched for demolition
138-24-090,14117 Rexwood Ave,43550,,Cleveland,1,1,"For sale (List Price: $13,000) (Renovation Work Required)"
642-13-023,21861 Maydale Ave,43550,,Euclid,,1,Pending transfer
672-25-056,1923 Rosemont Rd,43550,,East Cleveland,,1,Sched for demolition
110-17-011,913 E. 128th St.,43549,,Cleveland,10,1,Sched for demolition
104-10-071,1420 E 52nd St,43546,,Cleveland,10,1,Sched for demolition
107-06-026,1078 Ansel Rd,43546,,Cleveland,7,0,Vacant lot
117-12-042,1850 Alcoy St,43546,,Cleveland,10,1,Unavailable - Demo under contract
128-25-064,11429 Continental Ave,43546,,Cleveland,4,1,Sched for demolition
130-23-036,12705 Union Ave,43546,,Cleveland,4,1,Pending transfer
131-35-163,3668 E 53rd St,43546,,Cleveland,12,1,Sched for demolition
671-11-166,14400 Strathmore Ave,43546,,East Cleveland,,0,Vacant lot
006-04-133,7803 Eve Ave,43545,,Cleveland,15,1,Pending transfer
135-13-100,3590 E 114th St,43545,,Cleveland,2,1,Sched for demolition
136-10-006,10506 Avon Ave,43545,,Cleveland,2,1,Sched for demolition
672-07-023,12833 Euclid Ave,43545,,East Cleveland,,0,Pending transfer
112-23-030,14311 Darwin Ave,43544,,Cleveland,8,1,Sched for demolition
