PacelClean,Parcel,Address,Date posted,New,Municipality,Cleveland Ward,Bldgs,Status
00609012,006-09-012,6600 Colgate Ave,43629,NEW,Cleveland,15,1,Sched for demolition
01728040,017-28-040,3476 W 94th St,43629,NEW,Cleveland,11,0,Vacant lot
13507107,135-07-107,3552 E 106th St,43629,NEW,Cleveland,2,0,Vacant lot
13511076,135-11-076,3538 E 113th St,43629,NEW,Cleveland,2,0,Vacant lot
78216064,782-16-064,21203 Franklin Rd,43629,NEW,Maple Heights,,1,Sched for demolition
00610111,006-10-111,6603 Colgate Ave,43622,NEW,Cleveland,15,0,Pending transfer
67109057,671-09-057,1640 Holyoke Ave,43622,NEW,East Cleveland,,0,Vacant lot
00419007,004-19-007,2345 W 7th St,43616,NEW,Cleveland,3,1,Pending transfer
01912117,019-12-117,11925 Saint John Ave,43616,NEW,Cleveland,11,1,Sched for demolition
13319087,133-19-087,7211 Worley Ave,43616,NEW,Cleveland,12,1,Sched for demolition
11406051,114-06-051,17708 Ingleside Rd,43615,NEW,Cleveland,8,1,Pending transfer
01916153,019-16-153,12810 Leeila Ave,43609,NEW,Cleveland,11,1,Pending transfer
10411032,104-11-032,1433 E 53rd St,43609,NEW,Cleveland,10,1,Sched for demolition
14213008,142-13-008,4380 E 154th St,43609,NEW,Cleveland,1,1,Sched for demolition
70212088,702-12-088,1303 Avondale Rd,43609,NEW,South Euclid,,0,Vacant lot
13003120,130-03-120,3254 E 121st St,43606,NEW,Cleveland,4,1,Sched for demolition
13908087,139-08-087,3750 E 147th St,43606,NEW,Cleveland,2,1,Sched for demolition
01912049,019-12-049,3902 W 118th St,43601,NEW,Cleveland,11,1,Pending transfer
12813092,128-13-092,9826 Sophia Ave,43601,NEW,Cleveland,4,1,Sched for demolition
11015154,110-15-154,12809 Edmonton Ave,43599,,Cleveland,10,0,Pending transfer
67312027,673-12-027,1863 Burnette Ave,43599,,East Cleveland,,1,Sched for demolition
10719039,107-19-039,1698 E 90th St,43594,,Cleveland,7,1,Sched for demolition
12527090,125-27-090,5924 Cable Ave,43594,,Cleveland,5,1,Sched for demolition
78207110,782-07-110,18705 Fairway Ave,43594,,Maple Heights,,0,Pending transfer
01504003,015-04-003,3272-3274 W 32nd St,43592,,Cleveland,14,1,Sched for demolition
13513091,135-13-091,3626 E 114th St,43592,,Cleveland,2,0,Pending transfer
13609011,136-09-011,10316 Avon Ave,43592,,Cleveland,2,1,Sched for demolition
54115034,541-15-034,4877 E 86th St,43592,,Garfield Heights,,1,Pending transfer
64518026,645-18-026,324 E 266th St,43592,,Euclid,,1,Pending transfer
68204129,682-04-129,3648 Fenley Rd,43592,,Cleveland Heights,,1,"For sale (List Price: $25,000) (Renovation Work Required)"
10414103,104-14-103,1244 E 58th St,43587,,Cleveland,7,0,Vacant lot
11714025,117-14-025,16809 Hillsboro Rd,43587,,Cleveland,10,1,Pending transfer
11825030,118-25-030,2165 E 73rd St,43587,,Cleveland,5,1,Pending transfer
13906081,139-06-081,3993 E 144th St,43587,,Cleveland,1,1,Sched for demolition
13212064,132-12-064,5808 Gertrude Ave (fr & Rear),43581,,Cleveland,12,2,Sched for demolition
00904012,009-04-012,1705 Denison Ave,43578,,Cleveland,12,1,Sched for demolition
11320092,113-20-092,394 E 163rd St,43574,,Cleveland,8,1,"For sale (List Price: $25,000) (Renovation Work Required)"
13824070,138-24-070,14112 Rexwood Ave,43574,,Cleveland,1,1,Pending transfer
14315047,143-15-047,4597 E 174th St,43574,,Cleveland,1,1,Pending transfer
86307003,863-07-003,1572 Woodhurst Ave,43574,,Mayfield Heights,,1,Pending transfer
10915028,109-15-028,1052 Parkwood Dr,43572,,Cleveland,9,1,Sched for demolition
11201116,112-01-116,13717 Diana Ave,43572,,Cleveland,8,1,Pending transfer
01107084,011-07-084,4000 Biddulph Ave,43570,,Cleveland,13,0,Pending transfer
01703023,017-03-023,9117 Lorain Ave,43570,,Cleveland,11,0,Pending transfer
13310021,133-10-021,3852 E 78th St,43570,,Cleveland,12,0,Vacant lot
13310022,133-10-022,3848 E 78th St,43570,,Cleveland,12,0,Vacant lot
11631068,116-31-068,1284 E 187th St,43567,,Cleveland,10,1,Sched for demolition
13206113,132-06-113,6710 Sebert Ave,43567,,Cleveland,12,1,Sched for demolition
00610080,006-10-080,7227 West Colgate St,43564,,Cleveland,15,0,Pending transfer
10921100,109-21-100,11201 Ada Ave,43564,,Cleveland,9,1,Sched for demolition
13717075,137-17-075,12800 Gay Ave,43564,,Cleveland,4,1,Sched for demolition
67222040,672-22-040,1861 Windermere St,43564,,East Cleveland,,1,Unavailable - Demo under contract
10808004,108-08-004,10005 Elk Ave,43561,,Cleveland,10,0,Pending transfer
12331110,123-31-110,4913 Frazee Ave,43558,,Cleveland,5,1,Sched for demolition
01508103,015-08-103,3801 Woodbridge Ave,43557,,Cleveland,14,1,Sched for demolition
12007015,120-07-015,10729 Lee Ave,43557,,Cleveland,9,0,Pending transfer
12013016,120-13-016,1447 Lakeview Rd,43557,,Cleveland,9,0,Pending transfer
12033074,120-33-074,1866 Lakeview Rd,43557,,Cleveland,6,1,Pending transfer
13901053,139-01-053,3565 E 143rd St,43557,,Cleveland,2,0,Pending transfer
67214016,672-14-016,1840 Wadena St,43557,,East Cleveland,,1,Pending transfer
67210049,672-10-049,1779 Wheeler Ave,43556,,East Cleveland,,1,Sched for demolition
13413165,134-13-165,7910 Force Ave,43553,,Cleveland,2,1,Sched for demolition
13824090,138-24-090,14117 Rexwood Ave,43550,,Cleveland,1,1,"For sale (List Price: $13,000) (Renovation Work Required)"
64213023,642-13-023,21861 Maydale Ave,43550,,Euclid,,1,Pending transfer
67225056,672-25-056,1923 Rosemont Rd,43550,,East Cleveland,,1,Sched for demolition
11017011,110-17-011,913 E. 128th St.,43549,,Cleveland,10,1,Sched for demolition
10410071,104-10-071,1420 E 52nd St,43546,,Cleveland,10,1,Sched for demolition
10706026,107-06-026,1078 Ansel Rd,43546,,Cleveland,7,0,Vacant lot
11712042,117-12-042,1850 Alcoy St,43546,,Cleveland,10,1,Unavailable - Demo under contract
12825064,128-25-064,11429 Continental Ave,43546,,Cleveland,4,1,Sched for demolition
13023036,130-23-036,12705 Union Ave,43546,,Cleveland,4,1,Pending transfer
13135163,131-35-163,3668 E 53rd St,43546,,Cleveland,12,1,Sched for demolition
67111166,671-11-166,14400 Strathmore Ave,43546,,East Cleveland,,0,Vacant lot
00604133,006-04-133,7803 Eve Ave,43545,,Cleveland,15,1,Pending transfer
13513100,135-13-100,3590 E 114th St,43545,,Cleveland,2,1,Sched for demolition
13610006,136-10-006,10506 Avon Ave,43545,,Cleveland,2,1,Sched for demolition
67207023,672-07-023,12833 Euclid Ave,43545,,East Cleveland,,0,Pending transfer
11223030,112-23-030,14311 Darwin Ave,43544,,Cleveland,8,1,Sched for demolition
54407119,544-07-119,4915 E 107th St,43544,,Garfield Heights,,1,Pending transfer
10912086,109-12-086,10623 Columbia Ave,43543,,Cleveland,9,1,Sched for demolition
10922104,109-22-104,1150 E 113th St,43543,,Cleveland,9,1,Sched for demolition
11504072,115-04-072,1018 E 143rd St,43543,,Cleveland,10,1,Unavailable - Demo under contract
11615030,116-15-030,1349 E 170th St,43543,,Cleveland,10,1,Sched for demolition
13016140,130-16-140,3433 E 145th St,43543,,Cleveland,1,1,Sched for demolition
13624024,136-24-024,4232 E 110th St,43539,,Cleveland,2,1,Sched for demolition
13625031,136-25-031,4221 E 110th St,43539,,Cleveland,2,1,Sched for demolition
13725049,137-25-049,13605 Durkee Ave,43539,,Cleveland,2,1,Sched for demolition
14010087,140-10-087,17103 Walden Ave,43539,,Cleveland,1,1,Pending transfer
68702055,687-02-055,3307 Washington Blvd,43539,,Cleveland Heights,,1,Pending transfer
67114060,671-14-060,14112 Bardwell Ave,43538,,East Cleveland,,1,Sched for demolition
10415011,104-15-011,1237 E 60th St (fr & Rear),43537,,Cleveland,7,2,Sched for demolition
01623087,016-23-087,3446 W 45th St,43536,,Cleveland,14,1,Pending transfer
13510072,135-10-072,3520 E 110th St,43536,,Cleveland,2,1,Pending transfer
13705052,137-05-052,3549 E 133rd St,43536,,Cleveland,4,1,"For sale (List Price: $12,000) (Renovation Work Required)"
13916088,139-16-088,15205 Harvard Ave,43536,,Cleveland,1,1,Pending transfer
51105002,511-05-002,3872 E 38th St,43535,,Newburgh Heights,,0,Vacant lot
11316062,113-16-062,15823 Trafalgar Ave,43531,,Cleveland,8,1,Pending transfer
13816063,138-16-063,12912 Hoy Ave,43531,,Cleveland,2,1,Sched for demolition
67104153,671-04-153,13613 Milan Ave,43531,,East Cleveland,,1,Sched for demolition
67205125,672-05-125,12918 Phillips Ave,43531,,East Cleveland,,1,Sched for demolition
13723069,137-23-069,12713 Lenacrave Ave,43530,,Cleveland,2,1,Sched for demolition
14227088,142-27-088,15210 Florida Ave,43530,,Cleveland,1,1,Pending transfer
13725161,137-25-161,13617 Southview Ave,43528,,Cleveland,2,1,Pending transfer
13225145,132-25-145,6817 Claasen Ave,43525,,Cleveland,12,1,Sched for demolition
13719056,137-19-056,13517 Coath Ave,43525,,Cleveland,2,1,Sched for demolition
02309075,023-09-075,13513 Sherry Ave,43523,,Cleveland,16,1,Pending transfer
10521116,105-21-116,6320 Orton Ct,43523,,Cleveland,7,1,Pending transfer
10524117,105-24-117,1128 E 66th St,43523,,Cleveland,7,1,Sched for demolition
10533120,105-33-120,7503 Lockyear Ave,43523,,Cleveland,7,1,Sched for demolition
10802110,108-02-110,682 E 91st St,43523,,Cleveland,10,1,Sched for demolition
12606078,126-06-078,8705 Nevada Ave,43523,,Cleveland,6,1,Sched for demolition
12715088,127-15-088,9319 Carton Ave,43523,,Cleveland,6,1,Sched for demolition
12725115,127-25-115,3404 E 108th St,43523,,Cleveland,4,1,Sched for demolition
12727012,127-27-012,3411 E 113th St,43523,,Cleveland,4,1,Sched for demolition
12822073,128-22-073,3096 Audubon Blvd,43523,,Cleveland,4,0,Vacant lot
13618117,136-18-117,4140 E 112th St,43523,,Cleveland,2,1,Sched for demolition
13707074,137-07-074,3585 E 118th St,43523,,Cleveland,2,1,Sched for demolition
13816020,138-16-020,4254 E 131st St,43523,,Cleveland,2,1,Sched for demolition
13817107,138-17-107,4293 E 134th St,43523,,Cleveland,1,1,Sched for demolition
13907074,139-07-074,3835 E 146th St,43523,,Cleveland,2,1,Sched for demolition
13912050,139-12-050,3666 E 149th St,43523,,Cleveland,2,1,Sched for demolition
67112111,671-12-111,14017 Northfield Ave,43523,,East Cleveland,,1,Sched for demolition
67112158,671-12-158,14013 Potomac Ave,43523,,East Cleveland,,0,Vacant lot
67117108,671-17-108,14816 Alder Ave,43523,,East Cleveland,,1,Unavailable - Demo under contract
67205186,672-05-186,1168 Bender Ave,43523,,East Cleveland,,1,Sched for demolition
67214051,672-14-051,1857 Brightwood St,43523,,East Cleveland,,0,Pending transfer
00723054,007-23-054,2654 W 28 St,43522,,Cleveland,3,0,Pending transfer
10419118,104-19-118,6001 Whittier Ave,43522,,Cleveland,7,1,Sched for demolition
10518012,105-18-012,897 E 75th St,43522,,Cleveland,10,1,Sched for demolition
10922043,109-22-043,1122 E 111th St,43522,,Cleveland,9,1,Sched for demolition
11108023,111-08-023,11709 Hazeldell Rd,43522,,Cleveland,10,1,Sched for demolition
12007007,120-07-007,10818 Orville Ave,43522,,Cleveland,9,0,Pending transfer
12637048,126-37-048,9312 Sophia Ave,43522,,Cleveland,6,1,Sched for demolition
13614116,136-14-116,4148 E 98th St,43522,,Cleveland,2,1,Sched for demolition
01725093,017-25-093,3487 W 97th St,43517,,Cleveland,11,1,Pending transfer
11202135,112-02-135,13310 Eaglesmere Ave,43516,,Cleveland,8,1,Sched for demolition
14227146,142-27-146,15134 Lincoln Ave,43515,,Cleveland,1,1,Sched for demolition
00518002,005-18-002,2071 W 106th St,43511,,Cleveland,15,1,Pending transfer
00606049,006-06-049,7725 Colgate Ave,43511,,Cleveland,15,0,Pending transfer
01901056,019-01-056,3666 W 116th St,43511,,Cleveland,11,1,Pending transfer
10514020,105-14-020,969 E 67th St (fr & Rear),43511,,Cleveland,10,2,Sched for demolition
10620034,106-20-034,8116 Linwood Ave,43511,,Cleveland,7,1,Sched for demolition
10713057,107-13-057,9100 Shipherd Ave,43511,,Cleveland,7,1,Unavailable - Demo under contract
10802131,108-02-131,9110 Hillock Ave,43511,,Cleveland,10,1,Sched for demolition
10821037,108-21-037,9310 Yale,43511,,Cleveland,9,1,Sched for demolition
10821039,108-21-039,9402 Yale Ave,43511,,Cleveland,9,1,Sched for demolition
10903168,109-03-168,9703 Pierpont Ave,43511,,Cleveland,9,1,Sched for demolition
11010072,110-10-072,730 Eddy Rd,43511,,Cleveland,10,1,Sched for demolition
11011015,110-11-015,897 Thornhill Dr,43511,,Cleveland,10,1,Sched for demolition
11015026,110-15-026,849 E 131st St,43511,,Cleveland,10,1,Sched for demolition
11201005,112-01-005,13613 Othello Ave,43511,,Cleveland,8,1,Sched for demolition
11320077,113-20-077,382 E 162nd St,43511,,Cleveland,8,1,Pending transfer
11323017,113-23-017,1238 E 172nd St,43511,,Cleveland,8,1,Sched for demolition
11522027,115-22-027,15415 Plato Ave,43511,,Cleveland,8,1,Unavailable - Demo under contract
11529090,115-29-090,1017 Evangeline Rd,43511,,Cleveland,8,1,Unavailable - Demo under contract
12331151,123-31-151,4924 Anson Ave,43511,,Cleveland,5,1,Sched for demolition
12524038,125-24-038,5622 Drake Ave,43511,,Cleveland,5,1,Sched for demolition
12534017,125-34-017,3406 E 73rd St,43511,,Cleveland,6,1,Sched for demolition
12918026,129-18-026,11821 Honeydale Ave,43511,,Cleveland,4,0,Vacant lot
12929099,129-29-099,12614 Signet Ave,43511,,Cleveland,4,0,Vacant lot
13009056,130-09-056,3257 E 135th St,43511,,Cleveland,4,1,Sched for demolition
13017040,130-17-040,3378 E 146th St,43511,,Cleveland,1,1,Sched for demolition
13133011,131-33-011,3627 E 47th St,43511,,Cleveland,12,1,Sched for demolition
13135111,131-35-111,3676 E 54th St,43511,,Cleveland,12,1,Sched for demolition
13208082,132-08-082,3647 E 63rd St,43511,,Cleveland,12,1,Unavailable - Demo under contract
13411117,134-11-117,4294 E 72nd St,43511,,Cleveland,12,1,Sched for demolition
13415021,134-15-021,8601 Force Ave,43511,,Cleveland,2,1,Sched for demolition
13419111,134-19-111,8023 Maryland Ave,43511,,Cleveland,2,1,Unavailable - Demo under contract
13521075,135-21-075,11322 Revere Ave,43511,,Cleveland,2,1,Unavailable - Demo under contract
13618100,136-18-100,4129 E 112th St,43511,,Cleveland,2,1,Sched for demolition
13724136,137-24-136,13402 Coath Ave,43511,,Cleveland,2,1,Sched for demolition
13802160,138-02-160,3954 E 120th St,43511,,Cleveland,2,1,Sched for demolition
13805155,138-05-155,13313 Edgewood Ave,43511,,Cleveland,2,1,Sched for demolition
13817057,138-17-057,13305 Beachwood Ave,43511,,Cleveland,1,1,Sched for demolition
13902111,139-02-111,3678 E 143rd St,43511,,Cleveland,2,1,Sched for demolition
13902138,139-02-138,3669 E 143rd St,43511,,Cleveland,2,1,Sched for demolition
14301052,143-01-052,16225 Tarkington Ave,43511,,Cleveland,1,1,Sched for demolition
57217006,572-17-006,10501 Stone Rd,43511,,Valley View,,1,Under evaluation
10415138,104-15-138,6305 Edna Ave,43508,,Cleveland,7,1,Sched for demolition
10425074,104-25-074,1597 E 47th St,43508,,Cleveland,7,0,Pending transfer
10526121,105-26-121,1041 E 70th St,43508,,Cleveland,10,1,Pending transfer
10531126,105-31-126,1020 E 78th St,43508,,Cleveland,9,1,Sched for demolition
11016002,110-16-002,879 Paxton Rd,43508,,Cleveland,10,1,Sched for demolition
11026101,110-26-101,12108 Castlewood Ave,43508,,Cleveland,9,1,Unavailable - Demo under contract
11029103,110-29-103,1272 E 124th St,43508,,Cleveland,9,1,Sched for demolition
12014071,120-14-071,1525 E 123rd St,43508,,Cleveland,9,0,Pending transfer
12134007,121-34-007,11504 Woodstock Ave,43508,,Cleveland,6,0,Pending transfer
67101140,671-01-140,1233 E 135th St,43508,,East Cleveland,,1,Unavailable - Demo under contract
67102106,671-02-106,13521 Gainsboro Ave,43508,,East Cleveland,,1,Unavailable - Demo under contract
67109002,671-09-002,1622 Bryn Mawr Rd,43508,,East Cleveland,,0,Vacant lot
67111005,671-11-005,14800 Shaw Ave,43508,,East Cleveland,,1,Sched for demolition
67206116,672-06-116,1381 E 125th St,43508,,East Cleveland,,1,Sched for demolition
67215080,672-15-080,1884 Roxbury Rd,43508,,East Cleveland,,0,Pending transfer
67222068,672-22-068,1838 Beersford Ave,43508,,East Cleveland,,1,Unavailable - Demo under contract
67225054,672-25-054,1911 Rosemont Rd,43508,,East Cleveland,,1,Sched for demolition
67307039,673-07-039,1741 Doan Ave,43508,,East Cleveland,,1,Sched for demolition
73521118,735-21-118,3625 Ludgate Rd,43508,,Shaker Heights,,1,Under renovation
00129029,001-29-029,1966 W 96th St,43507,,Cleveland,15,1,Sched for demolition
13616059,136-16-059,4061 E 103rd St,43507,,Cleveland,2,1,Pending transfer
13718069,137-18-069,13409 Horner Ave,43507,,Cleveland,2,1,Sched for demolition
00606054,006-06-054,7738 Lorain Ave,43503,,Cleveland,15,0,Pending transfer
01611179,016-11-179,3164 W 56th St,43503,,Cleveland,3,1,Sched for demolition
10712085,107-12-085,1352 E 93rd St,43503,,Cleveland,7,1,Unavailable - Demo under contract
10810082,108-10-082,496 E 105th St,43503,,Cleveland,10,1,Sched for demolition
10904160,109-04-160,10411 Kempton Ave,43503,,Cleveland,9,1,Sched for demolition
13121085,131-21-085,3471 E 52nd St,43503,,Cleveland,5,2,Sched for demolition
13520067,135-20-067,11205 Revere Ave,43503,,Cleveland,2,1,Unavailable - Demo under contract
13606059,136-06-059,11316 Dove Ave,43503,,Cleveland,2,1,Sched for demolition
13722056,137-22-056,12605 Lenacrave Ave,43503,,Cleveland,2,1,Sched for demolition
13905097,139-05-097,14317 Edgewood Ave,43503,,Cleveland,1,1,Sched for demolition
13909117,139-09-117,3652 E 147th St,43503,,Cleveland,2,1,Sched for demolition
67332023,673-32-023,15922 Forest Hills Blvd,43503,,East Cleveland,,1,Under evaluation
01829014,018-29-014,3609 W 130th St,43502,,Cleveland,16,1,Pending transfer
11014068,110-14-068,12709 Arlington Ave,43502,,Cleveland,10,1,Sched for demolition
13920125,139-20-125,3585 E 151st St,43502,,Cleveland,1,1,Sched for demolition
12512015,125-12-015,3051 E 65th St,43500,,Cleveland,5,1,Unavailable - Demo under contract
10715115,107-15-115,1420 E 88th St,43497,,Cleveland,7,0,Vacant lot
12527062,125-27-062,5943 Cable Ave,43497,,Cleveland,5,1,Sched for demolition
00723044,007-23-044,00000 Joy Court,43495,,Cleveland,3,0,Pending transfer
01617094,016-17-094,3537 W 58th St,43495,,Cleveland,14,1,Sched for demolition
67204037,672-04-037,1284 N Lockwood Ave,43494,,East Cleveland,,1,Sched for demolition
67216081,672-16-081,1861 Idlewood Ave,43494,,East Cleveland,,0,Vacant lot
67306034,673-06-034,1722 Northfield Ave,43494,,East Cleveland,,1,Sched for demolition
67316072,673-16-072,2075 Alton Rd,43494,,East Cleveland,,1,Sched for demolition
10715076,107-15-076,1432 E 86th St,43493,,Cleveland,7,1,Unavailable - Demo under contract
12320025,123-20-025,3021 Nursery Ave,43493,,Cleveland,5,1,Sched for demolition
13502057,135-02-057,9700 Gibson (transfer With 135-02-056),43493,,Cleveland,,0,Pending transfer
67205034,672-05-034,12819 Superior Ave,43493,,East Cleveland,,1,Sched for demolition
67306047,673-06-047,1715 Northfield Ave,43493,,East Cleveland,,1,Sched for demolition
13001101,130-01-101,3221 E 118th St,43489,,Cleveland,4,1,Sched for demolition
01918038,019-18-038,12005 Guardian Blvd,43488,,Cleveland,11,1,Pending transfer
65012030,650-12-030,1740 E 230th St,43488,,Euclid,,1,Pending transfer
67224108,672-24-108,1867 Roxford Rd,43488,,East Cleveland,,1,Unavailable - Demo under contract
68104065,681-04-065,966 Brunswick Rd,43488,,Cleveland Heights,,1,Pending transfer
10814018,108-14-018,568 E 110th St,43487,,Cleveland,10,1,Sched for demolition
13127011,131-27-011,3475 Independence Rd,43487,,Cleveland,12,1,Sched for demolition
11012007,110-12-007,953 Thornhill Dr,43483,,Cleveland,10,1,Sched for demolition
11027026,110-27-026,1164 E 125th St,43483,,Cleveland,9,1,Unavailable - Demo under contract
11101102,111-01-102,585 E 114th St,43483,,Cleveland,10,0,Vacant lot
11222041,112-22-041,15001 Upton Ave,43483,,Cleveland,8,1,Sched for demolition
11709047,117-09-047,1770 Cliffview Rd,43483,,Cleveland,10,1,Unavailable - Demo under contract
12002067,120-02-067,10801 Churchill Ave,43483,,Cleveland,9,1,Pending transfer
12003093,120-03-093,1325 E 111th St,43483,,Cleveland,9,1,Pending transfer
12004067,120-04-067,1355 E 115th St,43483,,Cleveland,9,0,Pending transfer
12608009,126-08-009,2501 E 89th St,43483,,Cleveland,6,1,Sched for demolition
12930088,129-30-088,13409 Lorenzo Ave,43483,,Cleveland,4,0,Vacant lot
13135142,131-35-142,3737 E 53rd St,43483,,Cleveland,12,1,Pending transfer
13519070,135-19-070,10701 Reno Ave,43483,,Cleveland,2,1,Unavailable - Demo under contract
14204010,142-04-010,4157 E 144th St,43481,,Cleveland,1,1,Unavailable - Demo under contract
10409027,104-09-027,1429 E 47th St,43480,,Cleveland,10,1,Sched for demolition
10530153,105-30-153,1006 E 76th St,43480,,Cleveland,10,1,Sched for demolition
11710013,117-10-013,1663 Catalpa Rd,43480,,Cleveland,10,1,Unavailable - Demo under contract
11713049,117-13-049,1863 Lampson Rd,43480,,Cleveland,10,0,Vacant lot
11713109,117-13-109,1826 Haldane Rd,43480,,Cleveland,10,0,Vacant lot
12011010,120-11-010,1447 E 120th St,43480,,Cleveland,9,1,Pending transfer
12527058,125-27-058,5844 Portage Ave,43480,,Cleveland,5,1,Sched for demolition
67101143,671-01-143,1244 E 137th St,43480,,East Cleveland,,1,Unavailable - Demo under contract
67102137,671-02-137,13702 Mann Ave,43480,,East Cleveland,,1,Unavailable - Demo under contract
67111052,671-11-052,14529 Ardenall Ave,43480,,East Cleveland,,1,Sched for demolition
67111123,671-11-123,14605 Strathmore Ave,43480,,East Cleveland,,1,Sched for demolition
67116169,671-16-169,14510 Dover Ave,43480,,East Cleveland,,0,Vacant lot
67118105,671-18-105,1275 E 141st St,43480,,East Cleveland,,0,Vacant lot
67202100,672-02-100,12600 Speedway Overlook Ave,43480,,East Cleveland,,1,Sched for demolition
67206067,672-06-067,1628 Elberon Ave,43480,,East Cleveland,,1,Sched for demolition
67225002,672-25-002,14620 Euclid Ave,43480,,East Cleveland,,1,Sched for demolition
67303092,673-03-092,1726 Rosedale Ave,43480,,East Cleveland,,1,Sched for demolition
67304033,673-04-033,1749 Taylor Rd,43480,,East Cleveland,,1,Sched for demolition
67310015,673-10-015,1854 Taylor Rd,43480,,East Cleveland,,1,Sched for demolition
67310016,673-10-016,1858 Taylor Rd,43480,,East Cleveland,,1,Sched for demolition
01904016,019-04-016,3723 Highland Rd,43479,,Cleveland,11,0,Pending transfer
01622109,016-22-109,3561 W 49th St,43476,,Cleveland,14,0,Pending transfer
11026077,110-26-077,11714 Chesterfield Ave,43476,,Cleveland,9,0,Unavailable - Demo under contract
11511021,115-11-021,939 E 149th St,43476,,Cleveland,10,1,Sched for demolition
11513030,115-13-030,1057 E 148th St,43476,,Cleveland,10,1,Sched for demolition
10601079,106-01-079,1376 & 78 E 66th St (side By Side),43475,,Cleveland,7,2,Unavailable - Demo under contract
13419097,134-19-097,8018 Maryland Ave,43475,,Cleveland,2,0,Vacant lot
13902178,139-02-178,3670 E 144th St,43475,,Cleveland,2,1,Sched for demolition
01825062,018-25-062,3635 W 122nd St,43473,,Cleveland,11,1,Pending transfer
01908001,019-08-001,10607 Bellaire Rd,43473,,Cleveland,11,1,Pending transfer
11527079,115-27-079,905 Rudyard Rd,43473,,Cleveland,8,1,"For sale (List Price: $15,000) (Renovation Work Required)"
13707101,137-07-101,3576 E 120th St,43473,,Cleveland,2,1,Sched for demolition
10607068,106-07-068,1413 E 81st St,43472,,Cleveland,7,0,Vacant lot
01501012,015-01-012,3273 W 44th St,43469,,Cleveland,14,1,"For sale (List Price: $8,000) (Renovation Work Required)"
13001106,130-01-106,3239 E 118th St,43469,,Cleveland,4,1,Sched for demolition
67224038,672-24-038,1869 Beersford,43469,,East Cleveland,,1,Unavailable - Demo under contract
00707149,007-07-149,3634 Bailey Avenue,43468,,Cleveland,,0,Pending transfer
12536030,125-36-030,7729 Union Ave,43468,,Cleveland,6,1,Sched for demolition
67105135,671-05-135,13401 6th Ave,43468,,East Cleveland,,1,Sched for demolition
68707058,687-07-058,13366 Cedar Rd,43468,,Cleveland Heights,,1,Pending transfer
10914093,109-14-093,10723 Massie Ave,43467,,Cleveland,9,1,Pending transfer
10914094,109-14-094,10706 Morison Ave,43467,,Cleveland,9,1,"For sale (List Price: $10,000) (Renovation Work Required)"
12033041,120-33-041,1885 Woodlawn Ave,43467,,Cleveland,6,0,Pending transfer
12716078,127-16-078,9527 Bessemer Ave,43467,,Cleveland,6,1,Pending transfer
13405060,134-05-060,4077 E 81st St,43467,,Cleveland,12,1,"For sale (List Price: $8,000) (Renovation Work Required)"
13919027,139-19-027,3729 E 151,43467,,Cleveland,1,1,Sched for demolition
67110218,671-10-218,14209 Ardenall Ave,43467,,East Cleveland,,1,Sched for demolition
67207078,672-07-078,1777 Elberon Ave (row House),43467,,East Cleveland,,1,Pending transfer
67214006,672-14-006,12640 Euclid Ave,43467,,East Cleveland,,0,Pending transfer
67214157,672-14-157,1866 Wadena St (row House),43467,,East Cleveland,,1,Pending transfer
68323006,683-23-006,3574 Antisdale Ave,43467,,Cleveland Heights,,1,"For sale (List Price: $50,000) (Renovation Work Required)"
10413015,104-13-015,1148 Norwood Rd,43465,,Cleveland,7,2,Pending transfer
12723112,127-23-112,3481 E 99th St,43465,,Cleveland,6,1,Unavailable - Demo under contract
12824041,128-24-041,11110 Lardet Ave,43465,,Cleveland,4,0,Vacant lot
67118025,671-18-025,13815 Baldwin Ave,43465,,East Cleveland,,1,Unavailable - Demo under contract
67206054,672-06-054,1637 Elberon Ave,43465,,East Cleveland,,1,Sched for demolition
67210034,672-10-034,13521 Emily St,43465,,East Cleveland,,0,Vacant lot
10816015,108-16-015,10605 Dupont Ave,43462,,Cleveland,10,1,Sched for demolition
11009050,110-09-050,695 E 128th St,43462,,Cleveland,10,1,Sched for demolition
67226103,672-26-103,1527 Coventry Rd,43462,,East Cleveland,,1,Pending transfer
10709194,107-09-194,1191 E 84th St,43458,,Cleveland,7,0,Vacant lot
13212113,132-12-113,6005 Lansing Ave,43458,,Cleveland,12,1,Unavailable - Demo under contract
13411089,134-11-089,4332 E 73rd St,43458,,Cleveland,12,0,Vacant lot
13603020,136-03-020,3849 E 102nd St,43458,,Cleveland,2,1,Sched for demolition
67116082,671-16-082,1253 E 143rd St,43458,,East Cleveland,,0,Vacant lot
00605098,006-05-098,7410 Elton Ave,43454,,Cleveland,15,1,Pending transfer
00901049,009-01-049,2329 Selzer Ave,43454,,Cleveland,12,1,Sched for demolition
00916050,009-16-050,1621 Crestline Ave,43454,,Cleveland,12,0,Pending transfer
01304018,013-04-018,3595 W 60th St,43454,,Cleveland,14,1,Pending transfer
01504150,015-04-150,3409 Meyer Ave,43454,,Cleveland,14,1,Sched for demolition
10807099,108-07-099,9322 Lowell Ave,43454,,Cleveland,10,1,Sched for demolition
10808096,108-08-096,572 E 102nd St,43454,,Cleveland,10,1,Sched for demolition
10913062,109-13-062,10805 Greenlawn Ave,43454,,Cleveland,9,0,Vacant lot
