LATITUDE,LONGITUDE
41.481572,-81.74766600000001
41.482319,-81.743548
41.482428999999996,-81.743548
41.478056,-81.749939
41.4776,-81.74730600000001
41.477674,-81.74730600000001
41.482956,-81.740567
41.484996,-81.73164399999999
41.477434,-81.73926
41.479656,-81.737447
41.479002,-81.737022
41.479462,-81.729508
41.477176,-81.72483299999999
41.48101,-81.724825
41.481119,-81.724825
41.479027,-81.720428
41.481667,-81.72054399999999
41.479929999999996,-81.720427
41.476612,-81.696309
41.481378,-81.68355799999999
41.466782,-81.75748
41.469003,-81.758028
41.472468,-81.758484
41.474053000000005,-81.758496
41.474655,-81.7585
41.47501,-81.759474
41.47609,-81.756514
41.474942999999996,-81.75905999999999
41.473255,-81.74940600000001
41.473733,-81.748212
41.476149,-81.747709
41.475553000000005,-81.750011
41.475936,-81.750291
41.475936,-81.75014499999999
41.476446,-81.749703
41.47226,-81.74351800000001
41.476225,-81.74038900000001
41.475316,-81.73824499999999
41.47531,-81.739139
41.474918,-81.738947
41.474453000000004,-81.73881300000001
41.474492,-81.73869599999999
41.475640000000006,-81.73998
41.475719,-81.73562700000001
41.475721,-81.735372
41.475722,-81.735244
41.474819000000004,-81.736142
41.476213,-81.735344
41.472675,-81.738274
41.472775,-81.737974
41.472418,-81.73775699999999
41.472379,-81.737873
41.473849,-81.73768199999999
41.473862,-81.737624
41.473909,-81.737504
41.473849,-81.736427
41.473147,-81.736499
41.473339,-81.73628000000001
41.473417,-81.736046
41.475568,-81.730982
41.475365000000004,-81.731838
41.475725,-81.734525
41.475725,-81.732235
41.47622,-81.732573
41.476428000000006,-81.734624
41.476859000000005,-81.73355
41.475131,-81.733796
41.473944,-81.734655
41.475131,-81.730906
41.473304,-81.73197900000001
41.469961,-81.73581800000001
41.469854,-81.732668
41.469861,-81.732157
41.476781,-81.717024
41.476312,-81.71734599999999
41.476783000000005,-81.71723399999999
41.477090999999994,-81.718554
41.476999,-81.71674399999999
41.470863,-81.72242299999999
41.470189000000005,-81.722409
41.470662,-81.719575
41.470791999999996,-81.718905
41.464184,-81.739142
41.464195000000004,-81.739434
41.469271,-81.738697
41.467524,-81.73660600000001
41.46931,-81.735011
41.467406,-81.734737
41.468454,-81.73536899999999
41.477534999999996,-81.715891
41.473728,-81.7162
41.476745,-81.71210699999999
41.477146000000005,-81.70996099999999
41.477145,-81.709825
41.478195,-81.709979
41.480543,-81.70938199999999
41.480742,-81.704796
41.478863,-81.70329699999999
41.478716,-81.70320799999999
41.47285,-81.704755
41.475702000000005,-81.70324699999999
41.476040999999995,-81.703239
41.475996,-81.702973
41.475937,-81.70121400000001
41.476293,-81.700037
41.475057,-81.702504
41.470694,-81.70319
41.467059000000006,-81.713589
41.466301,-81.714549
41.466685999999996,-81.714259
41.466184000000005,-81.71480600000001
41.468488,-81.714991
41.468577,-81.715631
41.468385,-81.71562800000001
41.467268,-81.716004
41.467055,-81.71384499999999
41.468483,-81.712475
41.468756,-81.707838
41.466941999999996,-81.70392199999999
41.466813,-81.70392
41.46649,-81.703914
41.466144,-81.703905
41.467513000000004,-81.70393100000001
41.467998,-81.70398399999999
41.468241,-81.70119
41.472458,-81.697682
41.469073,-81.695429
41.469632,-81.695319
41.471371000000005,-81.68924399999999
41.466781,-81.68900500000001
41.467447,-81.68770699999999
41.464702,-81.694537
41.453286,-81.698948
41.453284000000004,-81.699275
41.453281,-81.69960999999999
41.452729,-81.691612
41.449852,-81.700141
41.448001,-81.696989
41.448173,-81.697488
41.44838,-81.698059
41.448707,-81.698231
41.446633,-81.699061
41.446348,-81.698039
41.446252,-81.698043
41.451048,-81.693466
41.438503999999995,-81.699062
41.444132,-81.693637
41.443195,-81.692854
41.436412,-81.687885
41.436997,-81.688496
41.433378000000005,-81.705952
41.434511,-81.702451
41.430306,-81.713175
41.429978999999996,-81.71183
41.430304,-81.709848
41.432019,-81.705378
41.431343,-81.70248199999999
41.426415999999996,-81.71861
41.43496,-81.71237099999999
41.458643,-81.733897
41.458773,-81.732065
41.457309,-81.729019
41.457427,-81.730719
41.441604999999996,-81.706099
41.444485,-81.707773
41.443535,-81.706982
41.437234000000004,-81.706133
41.436532,-81.70415
41.464832,-81.716096
41.46508,-81.70454699999999
41.465266,-81.706914
41.465267,-81.706799
41.464467,-81.704531
41.464088000000004,-81.702641
41.465206,-81.702787
41.461034000000005,-81.71502
41.461403999999995,-81.71548
41.462270000000004,-81.71469300000001
41.462270000000004,-81.714824
41.461890000000004,-81.71184000000001
41.461890000000004,-81.711577
41.462778,-81.708119
41.460571,-81.710091
41.451708,-81.708119
41.454264,-81.70879000000001
41.451445,-81.703316
41.462569,-81.72949
41.466608,-81.727991
41.462615,-81.724314
41.463601000000004,-81.7238
41.464875,-81.72264
41.464801,-81.72264100000001
41.462596999999995,-81.72150699999999
41.467037,-81.724958
41.465401,-81.722767
41.46826,-81.724275
41.46777,-81.724956
41.463294,-81.719574
41.463235,-81.718588
41.463312,-81.717691
41.462928999999995,-81.717647
41.465616,-81.72084699999999
41.466559000000004,-81.72033
41.466633,-81.718588
41.465503000000005,-81.718778
41.467057000000004,-81.71682
41.467108,-81.720448
41.467535999999996,-81.716824
41.467327000000004,-81.720325
41.458835,-81.729672
41.458906,-81.728528
41.459666999999996,-81.728914
41.460436,-81.728913
41.461543,-81.73022900000001
41.458078,-81.72705400000001
41.458869,-81.726449
41.459317,-81.72251899999999
41.460091999999996,-81.722815
41.460814,-81.723232
41.46118,-81.723582
41.461636,-81.72551800000001
41.460465,-81.725912
41.457301,-81.721252
41.456920000000004,-81.722096
41.460527,-81.71765400000001
41.461543,-81.719103
41.466374,-81.748073
41.468979,-81.746398
41.46822,-81.747025
41.467176,-81.747452
41.467046,-81.748067
41.467968,-81.74509499999999
41.465926,-81.745524
41.464857,-81.744475
41.465375,-81.745118
41.459126,-81.749301
41.459032,-81.747812
41.454158,-81.772544
41.455681,-81.77923100000001
41.454408,-81.778873
41.452684000000005,-81.768198
41.451097999999995,-81.765897
41.451398,-81.75965500000001
41.446242,-81.768378
41.447404,-81.77027199999999
41.446058,-81.771431
41.444679,-81.77609
41.441417,-81.778198
41.442401000000004,-81.771992
41.428926000000004,-81.784063
41.428884000000004,-81.78107299999999
41.4326,-81.777499
41.432536999999996,-81.777501
41.43249,-81.777502
41.432444,-81.777503
41.432396999999995,-81.77750400000001
41.43235,-81.777506
41.432303999999995,-81.777507
41.432257,-81.777508
41.43221,-81.77750999999999
41.432164,-81.777511
41.432117,-81.777512
41.432058000000005,-81.777514
41.430483,-81.772735
41.429106,-81.77686
41.424323,-81.77858
41.464933,-81.772451
41.462235,-81.771139
41.463378999999996,-81.775442
41.457716,-81.785871
41.451710999999996,-81.789893
41.437253999999996,-81.78527
41.433593,-81.782814
41.437789,-81.81519499999999
41.42576,-81.847412
41.509687,-81.668846
41.510014,-81.66722299999999
41.497493,-81.660901
41.49965,-81.656238
41.496589,-81.655227
41.494156,-81.659362
41.516127000000004,-81.661986
41.516719,-81.65782800000001
41.518240999999996,-81.65530799999999
41.518615000000004,-81.653637
41.522239,-81.64703399999999
41.521390999999994,-81.646179
41.521039,-81.64622299999999
41.517573,-81.64881
41.517868,-81.649537
41.519525,-81.649055
41.519456,-81.650888
41.519304999999996,-81.649755
41.519882,-81.648475
41.520616,-81.64782
41.520272999999996,-81.64638000000001
41.514276,-81.649798
41.515535,-81.64954399999999
41.516999,-81.650995
